first_name,regular_price,second_name,special_price
Sandały NESSI,339.00,22179 Biały,
Sandały BALDACCINI,349.00,1697000 Chic Złoto,
Sneakersy ROBERTO,449.00,3034 Złoto Lico,309.00
Klapki EVA MINGE,389.00,EM-41-09-001139 101,289.00
Sneakersy HÖGL,689.00,3-103653 Black,479.00
Sandały ROBERTO,349.00,3133 Srebro Lico,279.00
Sandały LOVE MOSCHINO,509.00,JA16171G0EI32500 Rosso,359.00
Klapki INUIKII,919.00,Chain 70104-002 Caramel,639.00
Klapki INUIKII,789.00,Patchwork Cord 70104-029 Beige,549.00
Klapki INUIKII,769.00,Fringes 70704-018 White,539.00
Sneakersy TRUSSARDI,339.00,77J00006 K322,269.00
Sneakersy GEOX,549.00,D Myria G D0468G 022Y2 C9002 Dk Grey,439.00
Sandały MELISSA,319.00,Soft Wave Sandal Ad 33422 Blue/Beige/White 54117,219.00
Klapki EVA MINGE,299.00,EM-58-11-001490 102,
Klapki KATE SPADE,349.00,Olympia K7120 Multi/Pale Dogwd,259.00
Klapki EVA MINGE,349.00,EM-21-09-001116 101,259.00
Klapki EVA LONGORIA,429.00,EL-13-03-000342 101,209.00
Sandały EVA MINGE,449.00,EM-41-09-001134 603,339.00
Espadryle JENNY FAIRY,79.99,WS140702-X Black,
Klapki INUIKII,999.00,Woven 70104-008 Pink,699.00
Sandały CALVIN KLEIN,449.00,Squared Flat Tp Sandal He HW0HW00818 Ck Black BAX,309.00
Klapki KARL LAGERFELD,419.00,KL80720 Black,289.00
Klapki CARINII,549.00,B7223 R90-000-000-E49,379.00
Espadryle JENNY FAIRY,109.99,WS19076-01 Red,
Klapki NURSING CARE,349.00,Berlin WG4AP22 Light Pink,309.00
Sneakersy ARA,379.00,12-54530-02 Blau,
Klapki MELISSA,299.00,Soft Wave Ad 33421 White/Green/Beige 52156,209.00
Japonki SEE BY CHLOÉ,979.00,SB38111A Black 999,699.00
Klapki UNISA,449.00,Lodio Ns Black,329.00
Sandały LES TROPEZIENNES,289.00,Hibicroc 42094 Tilleul,199.00
Sneakersy EVA LONGORIA,429.00,EL-01-02-000084 102,299.00
Japonki PEPE JEANS,99.00,Rake Prairie PLS70115 Navy 595,
Klapki EVA MINGE,399.00,EM-21-09-001201 101,299.00
Klapki VANS,339.00,Old Skool Mule VN0A4P3Y5GU1 (Checkerboard) Blk/Truwht,249.00
Klapki DUNE LONDON,539.00,Magnet 010 0087504510007010 Black/Black,379.00
Sandały MELISSA,399.00,Possession Print + Mic 33443 Clear Multicolor 54095,279.00
Sandały GUESS,599.00,Dezza FL6DZZ LEA03 BLACK,379.00
Sandały LES TROPEZIENNES,289.00,Hallyn C42734 Silver/Snake,199.00
Espadryle MANEBI,499.00,Slippers D K 1.5 D0 Patriot Blue,349.00
Klapki KURT GEIGER,629.00,Kensington Flat 8496100309 Black,439.00
Sandały SOLO FEMME,499.00,47706-01-A19/000-07-00 Czarny,
Tenisówki KARL LAGERFELD,579.00,KL60300 White Canvas,409.00
Sandały GIOSEPPO,269.00,Sullana 65934 Pink,189.00
Sandały KARINO,379.00,4167/007-P Beż/Lico,
Sneakersy EVA LONGORIA,469.00,EL-17-05-000761 302,329.00
Sandały LIU JO,649.00,Astra 21 SA2043 PX149 Lilac S1203,449.00
Sandały GOE,399.00,JJ2N4181 Black,279.00
Sneakersy EMU AUSTRALIA,349.00,Barkly W12153 Black,219.00
Sandały RYŁKO,299.99,1IFX2_W1 Kremowy 6NJ,
Sandały GUESS,519.00,Sabelle FL6SBL LEA03 WHITE,319.00
Sandały RYŁKO,279.99,1IFX8_V1 Miodowy 8A,
Sandały EVA MINGE,549.00,EM-40-11-001445 203,
Sandały UNISA,449.00,Jamal 22 Ks Black,329.00
Klapki SIMEN,319.00,5039A K.W.Nero,219.00
Sandały DKNY,599.00,Amber K4122393 Blk/Gunmetal Bwg,419.00
Sandały AZURÉE,999.00,Maniga 10FC Noir 01,599.00
Sneakersy GUESS,579.00,Bailia2 FL6B2L ELE12 WHITE,409.00
Sandały LASOCKI,149.99,WI16-2247-06 Beige,
Japonki ROXY,69.00,ARJL100682 Nvy,59.00
Sandały WOJAS,329.00,76057-51 Czarny,299.00
Sandały HISPANITAS,549.00,Grazia HV221804 White/Black,379.00
Sneakersy CALVIN KLEIN JEANS,399.00,Retro Volcanized Mid 2 YW0YW00484 Black BDS,
Klapki CROCS,229.00,Classic Solarized Clog 207556 Blanc/Multi/Rayures,159.00
Sandały RYŁKO,259.99,7VFN8_T1 Czarny 14,
Sandały FURLA,1 229.00,Chain YC87FUC-BX0569-0954S-1-007-20-IT Toni Dark,859.00
Japonki KARL LAGERFELD,419.00,KL80409A White Lthr,289.00
Buty EMU AUSTRALIA,439.00,Brumby Lo Teens T10773 Espresso,
Tenisówki GUESS,439.00,Preska2 FL6PK2 FAP12 LEOPA,279.00
Klapki BIG STAR,119.00,JJ274A263 Black,99.00
Sneakersy BRONX,649.00,66341-BV Off White/N.Yellow/Blac,219.00
Klapki POLLONUS,219.00,5-1416-001 Biały/Biały,
Japonki IPANEMA,89.00,Mesh VI Fem 83176 Pink/Pink 20197,
Sneakersy STEVE MADDEN,399.00,Reform SM11001397-04005-060 Silver Multi,239.00
Sneakersy KANGAROOS,209.00,Kanpu Satin 39070 000 6077 English Rose,129.00
Espadryle SEE BY CHLOÉ,1 079.00,SB26150 Lt Brown 533,769.00
Sandały BASSANO,69.99,WS25077-16ECO Black,
Sneakersy RAGE AGE,499.00,RA-08-03-000172 613,179.00
Sandały JENNY FAIRY,99.99,WS2590-82 Beige,
Espadryle KURT GEIGER,669.00,Morella Eagle 8879610109 Whtie,469.00
Klapki TED BAKER,229.00,Juleey 261820 Emerald,179.00
Klapki RIEKER,259.00,V9379-14 Blau,179.00
Sandały GIOSEPPO,239.00,Greig 59829 Rose Gold,169.00
Klapki EVA LONGORIA,429.00,EL-29-03-000446 103,209.00
Klapki BIRKENSTOCK,209.00,Arizona 0129423 Black,189.00
Klapki DR. BRINKMANN,259.00,700046-01 Schwarz,189.00
Trampki MUSTANG,219.00,1376-301-807 Himmelblau,169.00
Mokasyny LASOCKI,159.99,EST-AMRITA-02 Yellow,
Espadryle CALVIN KLEIN JEANS,269.00,Espadrilles 1 YW0YW00576 Super Lemon ZCU,
Sandały LES TROPEZIENNES,299.00,Hamso 42746 Gold,239.00
Sneakersy 4F,229.00,D4L22-OBDL200 20S,
Sandały TAMARIS,289.00,1-28114-28 White 100,229.00
Sandały TAMARIS,279.00,1-28134-28 Silver 941,199.00
Sandały PANTO FINO,199.00,JJ267028 Panterka/Szary,
Sandały IMAC,219.00,157160 Black/Black 7238/011,
Sandały POLLONUS,219.00,5-1405-001 Rudy Lico,
Sandały CAPRICE,249.00,9-28713-28 Black Softnap.,179.00
Kapcie NUVOLA,119.00,Classic Sheep UNCLSHEP697 Cream,99.00
Sandały NIK,209.00,07-0233-01-6-09-03 Granatowy,159.00
Japonki PATRIZIA PEPE,449.00,2VA267/A7G4-R309 Lipstick Red,219.00
Sandały MELISSA,319.00,Plush Sandal Ad 33407 Pink/Pink 50910,219.00
Sandały LES TROPEZIENNES,269.00,Hodin C42291 Nude/Gold,189.00
Tenisówki S.OLIVER,189.00,5-23618-28 Navy 805,
Espadryle TAMARIS,279.00,1-24305-26 Mango 609,139.00
Sandały IGI&CO,329.00,1671444 Nero,229.00
Klapki FILA,99.00,Morro Bay Slipper 2.0 Wmn 1010901.29Y Dress Blue,79.00
Sandały GIOSEPPO,269.00,Lazzate 65980 Nude,219.00
Sandały WALDI,229.00,546 Beżowy,209.00
Klapki SPRANDI,59.99,WP88-21984 Dark Pink,
Espadryle QUAZI,199.99,WSS990-96 Beige,
Trampki GOE,329.00,JJ2N4190 Black,229.00
Klapki DEEZEE,89.99,WS5291-14 Gold,
Tenisówki TIMBERLAND,219.00,Skate Park Oxford TB0A2KG70191 Navy Canvas,159.00
Klapki CROCS,119.00,Classic Crocs Slide 206121 Taffy Pink,109.00
