First name,Second name,Regular price,Special price
Półbuty Sergio Bardi,SB-24-09-000525,249.00,109.00
Kozaki QUAZI,QZ-21-05-000985,439.00,239.00
Trampki BIG STAR,DD274A232R36 White,119.00,99.00
Buty adidas,RICH MNISI Superstar Ot Tech W GW0523 Ftwwht/Cblack/Truora,549.00,
Sneakersy KARL LAGERFELD,,829.00,619.00
Buty adidas,RICH MNISI Valerance W GZ3602 Cblack/Truora/Boblue,549.00,
Trampki CONVERSE,Ct Shoreline Slip 537084 White,219.00,179.00
Trampki BIG STAR,V274869 White,129.00,99.00
Sneakersy Togoshi,TG-09-07-000401,429.00,269.00
Sneakersy Togoshi,TG-07-04-000188,469.00,229.00
Espadryle CALVIN KLEIN JEANS,,299.00,239.00
Sandały CAMPER,Oruga Sandal K200157-022 Black,469.00,379.00
Trampki CONVERSE,Ctas Shoreline Knit Slip 565490C White/Black/White,279.00,219.00
Tenisówki LAUREN RALPH LAUREN,,329.00,
Buty NIKE,Air Max 96 II DQ0830 Sail/Sail/Light Bone,759.00,729.00
Tenisówki PEPE JEANS,Kenton Basic Woman PLS30990 White 800,209.00,159.00
Trampki BIG STAR,T274022 101 White,109.00,89.00
Buty HEAD,Sprint Pro 3.5 Clay 274032-045 Bluestone/Teal,599.00,
Sneakersy DIADORA,Jolly Pure Wn 501.178545 01 C0351 White/Black,399.00,
Buty NIKE,Air Max 90 Ltr (GS) CD6864 001 Black/Black/Black/White,489.00,
Tenisówki BIG STAR,GG274075 Grey,129.00,99.00
Sneakersy PUMA,Carina Crew 374903 02 Puma White/Puma White,279.99,
Sandały TAMARIS,1-29406-28 Black 001,239.00,179.00
Tenisówki TOMMY HILFIGER,Iconic Kesha Slip On FW0FW01656 Whisper White 121,269.00,189.00
Trampki BIG STAR,AA274010 White,119.00,99.00
Tenisówki LACOSTE,Ziane Chunky Bl 2 Cfa 7-37CFA006421G Wht/Wht,299.99,219.00
Trampki BIG STAR,AA274009 Black,119.00,99.00
Sneakersy NEW BALANCE,WL574CS2 Biały Kolorowy,349.00,209.00
Trampki CONVERSE,Ct Shoreline Slip 537081C Black,219.00,179.00
Trampki BIG STAR,DD274A233R37 Grey,119.00,99.00
Sneakersy NEW BALANCE,GW500SN1 Granatowy,279.00,199.00
Trampki CONVERSE,All Star Hi M9160 Black,349.00,309.00
Trampki BIG STAR,DD274A236R36 Black,119.00,99.00
Sandały LASOCKI,OCE-ARENA-22 Black,129.99,
Tenisówki LEVI'S,225849-1733-50 Brilliant White,159.00,129.00
